"Universidade dos Açores - Angra do Heroísmo","0.13"
"Universidade dos Açores - Ponta Delgada","0.86"
"Universidade do Algarve","0.12"
"Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","0.30"
"Universidade do Algarve - Faculdade de Ciências e Tecnologia","0.48"
"Universidade do Algarve - Faculdade de Economia","0.16"
"Universidade de Aveiro","3.58"
"Universidade da Beira Interior","2.68"
"Universidade de Coimbra - Faculdade de Ciências e Tecnologia","2.21"
"Universidade de Coimbra - Faculdade de Direito","1.00"
"Universidade de Coimbra - Faculdade de Economia","0.87"
"Universidade de Coimbra - Faculdade de Farmácia","0.64"
"Universidade de Coimbra - Faculdade de Letras","1.12"
"Universidade de Coimbra - Faculdade de Medicina","0.80"
"Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação","0.62"
"Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física","0.32"
"Universidade de Évora - Escola de Ciências e Tecnologia","0.86"
"Universidade de Évora - Escola de Artes","0.30"
"Universidade de Évora - Escola de Ciências Sociais","0.80"
"Universidade de Lisboa","0.17"
"Universidade de Lisboa - Faculdade de Ciências","2.05"
"Universidade de Lisboa - Faculdade de Direito","1.37"
"Universidade de Lisboa - Faculdade de Farmácia","0.57"
"Universidade de Lisboa - Faculdade de Letras","2.10"
"Universidade de Lisboa - Faculdade de Medicina","0.79"
"Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território","0.22"
"Universidade de Lisboa - Instituto de Educação","0.06"
"Universidade de Lisboa - Faculdade de Psicologia","0.39"
"Universidade Técnica de Lisboa - Faculdade de Medicina Veterinária","0.31"
"Universidade Técnica de Lisboa - Faculdade de Arquitectura","0.89"
"Universidade Técnica de Lisboa - Instituto Superior de Agronomia","0.42"
"Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas","1.75"
"Universidade Técnica de Lisboa - Instituto Superior de Economia e Gestão","1.21"
"Universidade Técnica de Lisboa - Faculdade de Motricidade Humana","0.66"
"Universidade Técnica de Lisboa - Instituto Superior Técnico","3.14"
"Universidade Técnica de Lisboa - Instituto Superior Técnico (campus do Taguspark)","0.57"
"Universidade Nova de Lisboa - Faculdade de Ciências Médicas","0.62"
"Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas","1.92"
"Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia","2.47"
"Universidade Nova de Lisboa - Faculdade de Economia","1.13"
"Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação","0.27"
"Universidade Nova de Lisboa - Faculdade de Direito","0.27"
"Universidade do Minho","6.01"
"Universidade do Porto - Faculdade de Ciências da Nutrição e Alimentação","0.19"
"Universidade do Porto - Faculdade de Arquitectura","0.33"
"Universidade do Porto - Faculdade de Ciências","1.58"
"Universidade do Porto - Faculdade de Economia","0.92"
"Universidade do Porto - Faculdade de Engenharia","2.27"
"Universidade do Porto - Faculdade de Farmácia","0.50"
"Universidade do Porto - Faculdade de Letras","1.77"
"Universidade do Porto - Faculdade de Medicina","0.65"
"Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação","0.45"
"Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar","0.67"
"Universidade do Porto - Faculdade de Desporto","0.35"
"Universidade do Porto - Faculdade de Medicina Dentária","0.19"
"Universidade do Porto - Faculdade de Direito","0.53"
"Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias","0.43"
"Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais","0.87"
"Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia","0.34"
"Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente","0.91"
"Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais (Chaves)","0.10"
"Universidade da Madeira","1.21"
"Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro","0.36"
"Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda","0.16"
"Universidade de Aveiro - Escola Superior de Saúde de Aveiro","0.42"
"Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologias da Produção de Aveiro-Norte","0.08"
"Instituto Politécnico de Beja - Escola Superior Agrária","0.02"
"Instituto Politécnico de Beja - Escola Superior de Educação","0.17"
"Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão","0.11"
"Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão","0.72"
"Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia","0.36"
"Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança","0.07"
"Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança","0.30"
"Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança","0.20"
"Instituto Politécnico de Bragança - Escola Superior de Comunicação, Administração e Turismo de Mirandela","0.25"
"Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco","0.07"
"Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco","0.17"
"Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco","0.03"
"Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova","0.09"
"Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas de Castelo Branco","0.26"
"Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra","0.26"
"Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra","1.10"
"Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra","0.88"
"Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra","0.44"
"Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital","0.06"
"Universidade do Algarve - Escola Superior de Educação e Comunicação","0.32"
"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo","0.41"
"Universidade do Algarve - Instituto Superior de Engenharia","0.06"
"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo (Portimão)","0.08"
"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto","0.16"
"Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão","0.13"
"Instituto Politécnico da Guarda - Escola Superior de Turismo e Hotelaria","0.06"
"Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais","0.56"
"Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão","0.77"
"Instituto Politécnico de Leiria - Escola Superior de Artes e Design das Caldas da Rainha","0.80"
"Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar de Peniche","0.47"
"Instituto Politécnico de Lisboa - Escola Superior de Educação de Lisboa","0.48"
"Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social","0.88"
"Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa","1.37"
"Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa","0.60"
"Instituto Politécnico de Portalegre - Escola Superior de Educação","0.15"
"Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão","0.16"
"Instituto Politécnico de Portalegre - Escola Superior Agrária","0.02"
"Instituto Politécnico do Porto - Escola Superior de Educação","0.83"
"Instituto Politécnico do Porto - Escola Superior de Música e das Artes do Espectáculo","0.11"
"Instituto Politécnico do Porto - Escola Superior de Estudos Industriais e de Gestão","0.72"
"Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto","1.94"
"Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto","1.45"
"Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão de Felgueiras","0.38"
"Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém","0.10"
"Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém","0.17"
"Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém","0.19"
"Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior","0.43"
"Instituto Politécnico de Setúbal - Escola Superior de Educação","0.33"
"Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal","0.09"
"Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais","0.53"
"Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro","0.08"
"Instituto Politécnico de Setúbal - Escola Superior de Saúde","0.31"
"Instituto Politécnico de Viana do Castelo - Escola Superior Agrária","0.14"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Educação","0.21"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão","0.61"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais","0.09"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer de Melgaço","0.10"
"Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu","0.53"
"Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Viseu","0.45"
"Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu","0.13"
"Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Lamego","0.10"
"Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar","0.06"
"Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar","0.16"
"Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes","0.06"
"Universidade de Lisboa - Faculdade de Belas-Artes","0.89"
"Universidade do Porto - Faculdade de Belas-Artes","0.37"
"Universidade de Lisboa - Faculdade de Medicina Dentária","0.37"
"ISCTE - Instituto Universitário de Lisboa","2.80"
"Escola Superior de Enfermagem de Coimbra","0.86"
"Escola Superior de Enfermagem de Lisboa","0.80"
"Escola Superior de Enfermagem do Porto","0.72"
"Instituto Politécnico de Beja - Escola Superior de Saúde","0.12"
"Universidade do Minho - Escola Superior de Enfermagem","0.22"
"Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança","0.29"
"Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias","0.38"
"Universidade de Évora - Escola Superior de Enfermagem de São João de Deus","0.14"
"Universidade do Algarve - Escola Superior de Saúde","0.27"
"Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda","0.14"
"Instituto Politécnico de Leiria - Escola Superior de Saúde de Leiria","0.47"
"Instituto Politécnico de Portalegre - Escola Superior de Saúde","0.11"
"Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém","0.17"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Saúde","0.19"
"Universidade de Trás-os-Montes e Alto Douro - Escola Superior de Enfermagem de Vila Real","0.18"
"Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu","0.20"
"Universidade dos Açores - Escola Superior de Enfermagem de Angra do Heroísmo","0.03"
"Universidade dos Açores - Escola Superior de Enfermagem de Ponta Delgada","0.09"
"Escola Superior Náutica Infante D. Henrique","0.20"
"Escola Superior de Hotelaria e Turismo do Estoril","1.17"
"Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra","0.65"
"Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa","1.06"
"Instituto Politécnico do Porto - Escola Superior de Tecnologia da Saúde do Porto","1.22"
