"Universidade dos Açores - Angra do Heroísmo","48"
"Universidade dos Açores - Ponta Delgada","321"
"Universidade do Algarve","45"
"Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","112"
"Universidade do Algarve - Faculdade de Ciências e Tecnologia","181"
"Universidade do Algarve - Faculdade de Economia","60"
"Universidade de Aveiro","1340"
"Universidade da Beira Interior","1004"
"Universidade de Coimbra - Faculdade de Ciências e Tecnologia","826"
"Universidade de Coimbra - Faculdade de Direito","376"
"Universidade de Coimbra - Faculdade de Economia","325"
"Universidade de Coimbra - Faculdade de Farmácia","239"
"Universidade de Coimbra - Faculdade de Letras","420"
"Universidade de Coimbra - Faculdade de Medicina","298"
"Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação","232"
"Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física","120"
"Universidade de Évora - Escola de Ciências e Tecnologia","323"
"Universidade de Évora - Escola de Artes","112"
"Universidade de Évora - Escola de Ciências Sociais","298"
"Universidade de Lisboa","65"
"Universidade de Lisboa - Faculdade de Ciências","766"
"Universidade de Lisboa - Faculdade de Direito","511"
"Universidade de Lisboa - Faculdade de Farmácia","214"
"Universidade de Lisboa - Faculdade de Letras","785"
"Universidade de Lisboa - Faculdade de Medicina","295"
"Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território","84"
"Universidade de Lisboa - Instituto de Educação","21"
"Universidade de Lisboa - Faculdade de Psicologia","145"
"Universidade Técnica de Lisboa - Faculdade de Medicina Veterinária","115"
"Universidade Técnica de Lisboa - Faculdade de Arquitectura","334"
"Universidade Técnica de Lisboa - Instituto Superior de Agronomia","156"
"Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas","654"
"Universidade Técnica de Lisboa - Instituto Superior de Economia e Gestão","451"
"Universidade Técnica de Lisboa - Faculdade de Motricidade Humana","247"
"Universidade Técnica de Lisboa - Instituto Superior Técnico","1176"
"Universidade Técnica de Lisboa - Instituto Superior Técnico (campus do Taguspark)","215"
"Universidade Nova de Lisboa - Faculdade de Ciências Médicas","231"
"Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas","720"
